iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,10.654977560043335,68.02755231290134,114.36896383819426,864.0432866249024,-11.751666483005172,2.0,164.65147409085068,0.05,0.0570065975189209,1.4097769260406494,0.02502034,0.042408228,68.02755231290134,2.0,40000,2.258241653442383,0.8239302226415928,0.5284710049750848,80.98534137571858,4.0
1,10.75590443611145,72.73919100963661,136.6238637858761,1177.3410410708564,-11.073655039803624,3.0,181.91090839085223,0.05,0.0671851634979248,1.400918960571289,0.024753727,0.034960568,68.49871618257487,3.0,40000,2.261688232421875,0.7176738757007884,0.4812898558536522,93.29452004311432,0.0
2,10.754576206207275,80.85364419278396,142.25190799896112,1356.1999234662621,-7.247150806135378,4.0,186.14211978641205,0.05,0.05906033515930176,1.3954951763153076,0.025231425,0.03442877,69.73420898359578,4.0,40000,2.356390953063965,0.659944768105024,0.45479642660544756,108.40408758715358,4.0
3,10.5996413230896,89.14028567262675,147.6373630767684,1115.0345713895372,-10.714009414076118,4.0,179.38934016726398,0.05,0.06650686264038086,1.3792784214019775,0.025216104,0.0368346,71.67481665249888,4.0,40000,2.2790372371673584,0.7285328838182552,0.534021543371653,147.0613250807123,8.0
4,10.823889970779419,96.09693757686098,167.8521228330181,1481.3959298591642,-6.385045213892901,5.5,183.01823829239973,0.05,0.06405234336853027,1.40116548538208,0.024916882,0.035475176,74.1170287449351,5.5,40000,2.2582547664642334,0.6177091900792139,0.4692706894357145,93.2691083200229,4.0
5,10.645438194274902,92.85926670831482,163.07480975567069,1199.281072015973,-7.275731559454352,4.5,173.00410322091798,0.05,0.06615161895751953,1.4042325019836426,0.024758346,0.037016023,75.99125254127307,4.5,40000,2.2901058197021484,0.7001909867133822,0.5110554963579501,74.69849592308331,0.0
6,11.088603973388672,106.28557151966656,145.81516653659912,686.2667247393119,-5.4010839655673974,6.0,175.22299440858515,0.05,0.06758904457092285,1.4100987911224365,0.024890207,0.037032366,79.02068443911243,6.0,40000,2.297002077102661,0.5559257199743922,0.4442754033399377,129.64793640524195,4.0
7,10.824408531188965,99.31850131155,150.02634124008944,864.7352459263072,-12.450910503005256,5.0,185.8108135513703,0.05,0.06522703170776367,1.393460750579834,0.024800995,0.034573205,81.05046612635618,5.0,40000,2.2760190963745117,0.5755201004371225,0.4399658186162401,169.48403066289856,16.0
8,11.421772718429565,134.6322351589937,225.80428163605666,1700.1951750316427,-8.010780702601421,8.0,194.00826581621732,0.05,0.061139822006225586,1.3983502388000488,0.024935313,0.03283606,86.40864302961994,8.0,40000,2.3212523460388184,0.6129285324179385,0.43116835171584045,107.94884323459708,4.0
9,11.183728456497192,120.15754937023506,197.21565515697623,1682.6006946195862,-8.652573797127033,7.5,187.12215808774397,0.05,0.0625002384185791,1.4043457508087158,0.025118811,0.034876015,89.78353366368145,7.5,40000,2.2896528244018555,0.6458192332830271,0.41984141293128835,149.8843652931815,12.0
10,11.431092023849487,120.2916238256932,159.5633028133542,924.3100517542764,-10.31091192453127,7.0,177.02511569195738,0.05,0.06529879570007324,1.4063658714294434,0.025082787,0.03563278,92.83434267988264,7.0,40000,2.249194383621216,0.5937786630790567,0.4207565154488376,207.77541088689992,12.0
11,11.190845966339111,122.42362723536961,174.4854714593149,890.9456737524774,-10.381209972811828,7.0,176.66761108674177,0.05,0.06676673889160156,1.405008316040039,0.024981186,0.036079664,95.79327113543134,7.0,40000,2.2820451259613037,0.5146216938635307,0.36039229543041545,219.1010952734831,12.0
12,11.188316583633423,125.17254543868583,163.75957212694325,1049.6701872529602,-4.746605434907802,5.5,182.21506811189278,0.05,0.06570672988891602,1.4088280200958252,0.024792803,0.03403913,98.7311985657568,5.5,40000,2.339216470718384,0.6608890308843212,0.4132391621252249,186.7836989128774,4.0
13,11.195796012878418,147.788599008401,232.27469078904,2001.7472851091134,-6.321550725799762,11.5,187.83113570156448,0.05,0.06398367881774902,1.4005630016326904,0.025260985,0.035785463,103.63693861002122,11.5,40000,2.3433587551116943,0.5707779583551946,0.42875597472266164,188.62884710281693,12.0
14,11.072067975997925,172.79222595447231,243.7875701069039,1661.8394168959114,-11.896781638090351,13.5,186.06544863466468,0.05,0.07320261001586914,1.4119527339935303,0.025323609,0.03284781,110.55246734446634,13.5,40000,2.326422929763794,0.5199524018056743,0.3682642385193508,244.72169813617492,24.0
15,11.149327516555786,164.63959593008883,248.84892180645573,1688.714392934179,-4.861265671418511,9.5,187.99469651376964,0.05,0.06856155395507812,1.426563024520874,0.024956867,0.034931585,115.96118020302859,9.5,40000,2.315297842025757,0.5901321321967404,0.4145911927770913,370.05128780617815,28.0
16,10.9620361328125,163.34217921682793,256.81493555371594,1713.6251993335654,-6.115039191355971,11.5,190.20030069561926,0.05,0.0616459846496582,1.4114406108856201,0.024649682,0.03366598,120.69928010440853,11.5,40000,2.316197395324707,0.5975924701920485,0.434058317714809,394.65812077065306,24.0
17,11.16167664527893,185.01448605413236,255.75703006443192,1494.3675578744565,-4.868730663944549,13.0,186.56025216526652,0.05,0.05978536605834961,1.4089961051940918,0.025047094,0.034667898,127.13080069938093,13.0,40000,2.3398778438568115,0.5475872219997496,0.38072826907634433,386.4044182760398,24.0
18,11.165132999420166,222.9239690809837,299.6019454583082,1488.2968511772476,-7.470597773361897,17.0,191.37753332881059,0.05,0.06149911880493164,1.4122142791748047,0.025068963,0.032853354,136.7101175375412,17.0,40000,2.273176431655884,0.4677204728623865,0.3688428731192973,247.17631563119267,12.0
19,11.520866632461548,207.4703996374891,293.03212025154096,1905.4664106220382,-5.344776284860719,16.5,197.88307487478204,0.05,0.0665440559387207,1.408620834350586,0.02511089,0.03205957,143.786145747536,16.5,40000,2.2690563201904297,0.47065790390923357,0.38126041334993815,280.60068127759826,16.0
20,11.180645942687988,280.5161613426574,377.9242227446258,2191.648805411635,-4.905800649774319,26.0,199.49708172808423,0.05,0.06559228897094727,1.4033825397491455,0.025059128,0.031869635,157.45914730704817,26.0,40000,2.3129382133483887,0.48327460470041117,0.35270214609304534,417.11926074926896,24.0
21,11.2893807888031,290.5755138506645,388.9794704987801,2374.9222713849604,-5.007308601521046,27.0,191.6741921270162,0.05,0.06208610534667969,1.4071073532104492,0.024855576,0.033025276,170.77078396140982,27.0,40000,2.358243465423584,0.48946016675899734,0.3610898662792908,576.843635603795,32.0
22,11.324621438980103,330.59304410955474,412.6413366120247,1889.227928356259,-8.917058599051554,31.5,191.8920788608105,0.05,0.06051898002624512,1.391465663909912,0.025125312,0.03245596,186.7530099762243,31.5,40000,2.340454578399658,0.41130625211863564,0.3027138593265593,380.8578822146805,24.0
23,11.291760206222534,366.9361460823566,457.0285135666027,1753.2307263869975,-14.948578206906802,31.0,186.83484343408557,0.05,0.06950616836547852,1.3966460227966309,0.025063615,0.034512527,204.77132358683752,31.0,40000,2.35711669921875,0.42196914965234916,0.3001248782172919,367.33704909715266,16.0
24,11.19678783416748,443.1296404437702,504.6972674385466,2690.7610865740785,-7.639603068128812,41.5,188.89163764383383,0.05,0.06556391716003418,1.4020776748657227,0.025231173,0.03336269,228.6071552725308,41.5,40000,2.3561108112335205,0.4160745712072974,0.2998018374019457,349.13658211899775,28.0
