iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,0.0,123.45974713087082,5.016764380871544,142.09035459160805,108.70948195457458,0.0,192.25525396042494,0.05,0.0692284107208252,1.4447963237762451,0.02549593,0.030924214,123.45974713087082,0.0,40000,1.538083553314209,1.0031306545249958,0.0016722637677780738,-4.704001063056031,0.0
1,0.0,92.99500282011927,11.677342799296417,129.85694436728954,65.80815452337265,0.0,156.28718192774778,0.05,0.06412959098815918,1.4480795860290527,0.025515549,0.041267734,120.41327269979567,0.0,40000,2.5101089477539062,0.17183964909027005,0.012025041857129083,-4.992180117135936,0.0
2,0.0,97.2525404654909,28.86758851884956,198.88004901260138,43.91095944866538,0.0,170.49222924602284,0.05,0.06702876091003418,1.4388999938964844,0.02546759,0.03714136,118.0971994763652,0.0,40000,2.8440284729003906,0.09014909305872632,0.049001735626578016,-4.410899205940099,0.0
3,0.0,101.27389665693045,37.660987156079614,256.8992435671389,35.52753375843167,0.0,152.96461410883018,0.05,0.06808257102966309,1.4365060329437256,0.025869718,0.040308215,116.41486919442173,0.0,40000,2.8156301975250244,0.08387630419832186,0.061286626639204075,-3.4970344979787478,0.0
4,0.0,77.6135995825706,33.50352661160667,199.13374096900225,20.09773535374552,0.0,155.91877214670512,0.05,0.06501483917236328,1.4815948009490967,0.025020337,0.039890394,112.53474223323661,0.0,40000,2.7071149349212646,0.2276866483218735,0.04603709639029906,-2.2925952284149913,0.0
5,0.0,106.1494319957681,44.39498342102718,294.4933769106865,30.76985578611493,0.0,169.4088855226252,0.05,0.06304287910461426,1.439143419265747,0.02493536,0.038391445,111.89621120948976,0.0,40000,2.6909666061401367,0.15217395324301972,0.057869872531182295,-3.6435618403853147,0.0
6,0.0,45.85756015853956,22.804505446988195,204.01896929740906,19.246348969638348,0.0,165.03653100314966,0.05,0.06465482711791992,1.4321386814117432,0.025474997,0.037558567,105.29234610439475,0.0,40000,2.648380994796753,2.143108869520043,0.10790876851964644,2.9156372616205117,0.0
7,0.0,122.7942575673759,38.814459866286704,284.6563884317875,49.903727293014526,0.0,173.21615830323793,0.05,0.059188127517700195,1.4324071407318115,0.025401257,0.03566201,107.04253725069287,0.0,40000,2.6879422664642334,0.4552757871238282,0.03164224926248058,-1.2843555839940677,0.0
8,0.0,59.81519220273942,25.1843253619244,193.88155000656843,25.40584407746792,0.0,173.136330939942,0.05,0.062012434005737305,1.4605684280395508,0.025241813,0.03632204,102.31980274589753,0.0,40000,2.6871910095214844,1.074978257223892,0.053857857019137166,-2.902977342916303,0.0
9,0.0,85.42246188680642,42.367996838757044,283.0363893657923,22.98776674643159,0.0,149.34704282345936,0.05,0.058077096939086914,1.4683623313903809,0.025166053,0.043940507,100.63006865998842,0.0,40000,2.8006339073181152,0.14008282812537232,0.07274706859823903,-0.6374768721439398,0.0
